name,aliases,containerCode,status,qty,notes
USB-C to USB-C cable 1m,"usb c,type c,charging cable",T2,have,3,100W braided
HDMI cable 2m,"hdmi,monitor cable,display cable",T2,,2,
Lightning cable 1m,"iphone cable,lightning",T2,have,2,
Anker 65W charger,"charger,brick,power adapter,gan",T1,have,1,"Two USB-C, one USB-A"
Precision screwdriver set,"screwdriver,torx,phillips,spudger",T1,have,1,Magnetic tips
AA batteries,"batteries,aa",T1,gone,4,Used the last one in the wall clock
USB-C to 3.5mm adapter,"headphone adapter,dongle,aux",D-1,have,1,
SD card reader,"card reader,usb reader,sd",D-1,,1,
Black gel pens,"pens,gel pen",D-1,have,6,"Pilot G2, 0.5mm"
Scissors,shears,D-1,have,1,Small pair
Micro USB cable,"micro usb,old cable",T3,have,2,For the old keyboard
Spare keycaps,"keycaps,keys,switches",T3,have,1,Came with the keyboard
Thermal paste,"paste,cpu paste,thermal compound",T3,gone,1,"Dried out, binned it"
Ethernet cable 3m,"lan cable,rj45,cat6,network cable",W-A,have,1,
A4 refill pad,"notepad,paper,writing pad",W-A,have,2,
Blu-tack,"sticky tack,poster putty",W-A,have,1,
Laptop stand,"stand,riser",OUT,have,1,On the desk since the last video call
